culture,carb,min,max,mean,median,stdev,cv
45985,132,0.65624,11.37141,3.85287,2.86693,2.63406,0.68366
45985,131,0.27939,10.05139,2.79600,2.11934,1.97130,0.70504
45985,212,1.33391,99.68442,13.91469,8.19936,17.38737,1.24957
45985,142,2.25918,16.87624,6.70952,6.56905,2.83255,0.42217
58243,132,0.59800,36.87796,6.69850,5.19719,5.35027,0.79873
58243,131,0.59069,20.58682,4.09869,2.80356,3.54649,0.86528
58243,212,0.77701,117.78559,22.08897,15.79830,17.70410,0.80149
58243,142,4.27152,32.44410,15.95357,14.95250,5.31466,0.33313
60319,132,0.41317,21.65985,2.99852,2.16349,2.78354,0.92830
60319,131,0.35553,16.82626,2.89410,1.98817,2.64750,0.91479
60319,212,0.86601,523.69907,49.12214,19.01374,81.57711,1.66070
60319,142,10.13470,86.47373,38.03533,35.58726,16.10559,0.42344
45990,132,0.26923,26.21744,6.72438,5.66619,4.92605,0.73257
45990,131,0.07908,19.58294,5.07157,3.95749,3.89588,0.76818
45990,212,0.86321,506.57756,111.06584,72.56556,116.08703,1.04521
45990,142,2.42594,37.90122,12.99970,12.83187,4.78338,0.36796
46150,132,0.82795,19.37485,6.45117,5.96362,2.69350,0.41752
46150,131,0.41398,13.01795,5.09435,4.66883,2.40823,0.47273
46150,212,31.38766,378.10382,159.82165,134.58024,71.62853,0.44818
46150,142,7.69995,48.57338,28.19016,27.18836,6.69047,0.23733
AllFields,132,0.44071,37.36991,8.22778,7.23695,4.85651,0.59026
AllFields,131,0.41398,30.98418,7.12982,6.34625,4.18020,0.58630
AllFields,212,0.88673,384.00046,125.22149,111.90428,67.31541,0.53757
AllFields,142,7.69995,61.26059,24.73165,22.11910,9.57640,0.38721
57802,132,0.75015,9.48550,3.28509,3.15809,1.65637,0.50421
57802,131,0.52510,8.00899,3.02553,2.78424,1.40765,0.46526
57802,212,0.94757,115.38183,21.64677,15.12599,21.27180,0.98268
57802,142,7.43462,27.05486,15.25892,14.93242,4.80847,0.31513
56875,132,0.44071,17.21453,3.27391,2.47385,2.42447,0.74054
56875,131,0.79229,13.01795,2.96953,2.52020,1.60913,0.54188
56875,212,10.49200,294.65084,109.01025,105.19053,70.30535,0.64494
56875,142,12.21470,34.72174,22.67413,21.91036,5.30694,0.23405
51790,132,0.66759,15.45729,4.47899,3.21993,3.47681,0.77625
51790,131,0.44071,15.12226,3.92077,2.59688,3.33519,0.85065
51790,212,0.99225,40.00118,14.28550,13.14333,10.46275,0.73240
51790,142,13.05670,38.85045,21.45813,20.06088,5.60599,0.26125
48656,132,0.95367,9.27815,3.77335,3.43362,2.00509,0.53138
48656,131,0.36613,7.68856,3.05603,2.70617,1.84483,0.60367
48656,212,0.70556,548.62550,81.97629,24.08098,123.21063,1.50300
48656,142,6.25687,15.77929,10.97502,10.53400,2.32441,0.21179
GolmFields,132,1.76987,37.36991,9.66938,8.38404,5.06888,0.52422
GolmFields,131,1.53408,30.98418,8.55526,7.53011,4.24931,0.49669
GolmFields,212,0.88673,384.00046,113.93148,103.31104,59.92208,0.52595
GolmFields,142,10.26660,61.26059,23.67211,18.76018,10.64253,0.44958
56726,132,3.14560,37.36991,14.31006,13.87981,4.91597,0.34353
56726,131,1.53408,30.98418,11.77922,11.25948,4.93399,0.41887
56726,212,15.60708,343.03575,116.64861,105.90005,68.54187,0.58759
56726,142,22.11910,61.26059,36.94500,36.48912,7.15559,0.19368
44443,132,1.76987,22.11177,7.35667,7.00062,3.22076,0.43780
44443,131,1.71731,20.39566,6.94858,6.66766,2.67617,0.38514
44443,212,0.88673,384.00046,112.59079,102.91302,55.12563,0.48961
44443,142,10.26660,33.75420,17.05749,16.36576,3.55580,0.20846
57803,132,0.60195,40.17156,10.37695,8.21969,8.30524,0.80036
57803,131,1.28207,31.19706,8.27040,5.42951,6.52988,0.78955
57803,212,1.74734,350.97938,54.09480,32.38196,64.61370,1.19445
57803,142,12.77982,65.90338,31.96262,29.33511,12.21667,0.38222
56575,132,0.25487,13.08006,2.96759,2.06023,2.65958,0.89621
56575,131,0.24222,11.98991,3.00479,2.04247,2.69842,0.89804
56575,212,-0.00000,270.67569,19.71172,3.35543,35.71131,1.81168
56575,142,6.70194,50.89953,18.39409,16.75322,7.37431,0.40091
