Cultivar,Culture,Location,Pflanzen/Parzelle,mean_Knollenmasse_kgFW,median_Knollenmasse_kgFW,cv_Knollenmasse_kgFW,mean_Staerkegehalt_g/kg,median_Staerkegehalt_g/kg,cv_Staerkegehalt_g/kg,mean_Staerkeertrag_g/plant,median_Staerkeertrag_g/plant,cv_Staerkeertrag_g/plant,mean_Staerkeertrag_kg/ha,median_Staerkeertrag_kg/ha,cv_Staerkeertrag_kg/ha,Dev_Staerkeertrag_median_plant,Dev_Staerkeertrag_median_ha
382,47107,5544,20,36.35,36.35,0.0811554332875,158.0,158.0,0.0189873417722,287.6075,287.6075,0.0999886998774,11620.5050505,11620.5050505,0.0999886998774,25.95,1048.48484848
382,47109,5541,16,17.95,17.95,0.0863509749304,145.0,145.0,0.0344827586207,163.15625,163.15625,0.120475004788,7251.38888889,7251.38888889,0.120475004788,78.9875,3510.55555556
382,47110,5546,20,17.85,17.85,0.00280112044818,130.5,130.5,0.0498084291188,116.4875,116.4875,0.0526022105376,3882.91666667,3882.91666667,0.0526022105376,131.8375,4394.58333333
382,47111,5540,16,24.55,24.55,0.0224032586558,152.0,152.0,0.0131578947368,233.29375,233.29375,0.035550673775,10368.6111111,10368.6111111,0.035550673775,121.59375,5404.16666667
382,47112,5542,20,31.85,31.85,0.0800627943485,143.5,143.5,0.0383275261324,229.225,229.225,0.118028138292,10187.7777778,10187.7777778,0.118028138292,119.53,5312.44444444
382,47114,5543,16,16.55,16.55,0.0755287009063,121.5,121.5,0.0288065843621,125.403125,125.403125,0.0468239926238,5066.79292929,5066.79292929,0.0468239926238,87.55,3537.37373737
382,47115,5539,20,29.0,29.0,0.0206896551724,161.5,161.5,0.0030959752322,234.16,234.16,0.0175948069696,10407.1111111,10407.1111111,0.0175948069696,18.79,835.111111111
382,47117,5545,20,38.075,38.075,0.037426132633,125.0,125.0,0.128,239.10875,239.10875,0.164637429621,9660.95959596,9660.95959596,0.164637429621,113.5325,4587.17171717
2673,47107,5544,20,31.0,31.0,0.0225806451613,170.0,170.0,0.0176470588235,263.605,263.605,0.0402116803551,10650.7070707,10650.7070707,0.0402116803551,49.9525,2018.28282828
2673,47109,5541,16,20.75,20.75,0.0265060240964,143.5,143.5,0.00348432055749,186.084375,186.084375,0.0230238299159,8270.41666667,8270.41666667,0.0230238299159,56.059375,2491.52777778
2673,47110,5546,20,24.5,24.5,0.151020408163,130.0,130.0,0.00769230769231,159.065,159.065,0.143494797724,5302.16666667,5302.16666667,0.143494797724,89.26,2975.33333333
2673,47111,5540,16,29.7,29.7,0.0,144.5,144.5,0.00346020761246,268.228125,268.228125,0.00346020761246,11921.25,11921.25,0.00346020761246,86.659375,3851.52777778
2673,47112,5542,20,41.8,41.8,0.0191387559809,138.0,138.0,0.036231884058,288.22,288.22,0.0171049892443,12809.7777778,12809.7777778,0.0171049892443,60.535,2690.44444444
2673,47114,5543,16,22.85,22.85,0.0809628008753,174.0,174.0,0.0229885057471,248.95625,248.95625,0.103758190445,10058.8383838,10058.8383838,0.103758190445,-36.003125,-1454.67171717
2673,47115,5539,20,32.75,32.75,0.0809160305344,145.5,145.5,0.0171821305842,238.5875,238.5875,0.0979619636402,10603.8888889,10603.8888889,0.0979619636402,14.3625,638.333333333
2673,47117,5545,20,43.25,43.25,0.0473988439306,137.0,137.0,0.0510948905109,296.98,296.98,0.0982557747996,11999.1919192,11999.1919192,0.0982557747996,55.66125,2248.93939394
