sample_id;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;entity_id;is_valid
44501;208065;2011-08-29;180359;55;208065;0.301;208839;2011-08-31;180933;69;208839;0.051;366;7;5.90196
44501;208065;2011-08-29;180359;55;208065;0.301;211037;2011-09-29;182934;69;211037;0.077;366;6;3.90909
44501;210319;2011-09-26;182413;55;210319;0.565;208839;2011-08-31;180933;69;208839;0.051;366;6;11.07843
44501;210319;2011-09-26;182413;55;210319;0.565;211037;2011-09-29;182934;69;211037;0.077;366;7;7.33766
44502;209391;2011-09-01;181485;55;209391;0.838;209740;2011-09-05;181834;69;209740;0.104;366;7;8.05769
44502;209391;2011-09-01;181485;55;209391;0.838;211471;2011-10-04;183368;69;211471;0.066;366;6;12.69697
44502;211099;2011-09-29;182996;55;211099;0.459;209740;2011-09-05;181834;69;209740;0.104;366;6;4.41346
44502;211099;2011-09-29;182996;55;211099;0.459;211471;2011-10-04;183368;69;211471;0.066;366;7;6.95455
44503;208070;2011-08-29;180364;55;208070;0.81;208831;2011-08-31;180925;69;208831;0.089;366;7;9.10112
44503;208070;2011-08-29;180364;55;208070;0.81;211004;2011-09-29;182901;69;211004;0.075;366;6;10.80000
44503;210323;2011-09-26;182417;55;210323;0.564;208831;2011-08-31;180925;69;208831;0.089;366;6;6.33708
44503;210323;2011-09-26;182417;55;210323;0.564;211004;2011-09-29;182901;69;211004;0.075;366;7;7.52000
44504;208072;2011-08-29;180366;55;208072;0.58;208817;2011-08-31;180911;69;208817;0.091;366;7;6.37363
44504;208072;2011-08-29;180366;55;208072;0.58;211031;2011-09-29;182928;69;211031;0.090;366;6;6.44444
44504;210327;2011-09-26;182421;55;210327;0.592;208817;2011-08-31;180911;69;208817;0.091;366;6;6.50549
44504;210327;2011-09-26;182421;55;210327;0.592;211031;2011-09-29;182928;69;211031;0.090;366;7;6.57778
44505;209400;2011-09-01;181494;55;209400;0.248;209753;2011-09-05;181847;69;209753;0.037;366;7;6.70270
44505;209400;2011-09-01;181494;55;209400;0.248;211447;2011-10-04;183344;69;211447;0.052;366;6;4.76923
44505;211107;2011-09-29;183004;55;211107;0.404;209753;2011-09-05;181847;69;209753;0.037;366;6;10.91892
44505;211107;2011-09-29;183004;55;211107;0.404;211447;2011-10-04;183344;69;211447;0.052;366;7;7.76923
44506;209399;2011-09-01;181493;55;209399;0.405;209757;2011-09-05;181851;69;209757;0.055;366;7;7.36364
44506;209399;2011-09-01;181493;55;209399;0.405;211448;2011-10-04;183345;69;211448;0.062;366;6;6.53226
44506;211110;2011-09-29;183007;55;211110;0.510;209757;2011-09-05;181851;69;209757;0.055;366;6;9.27273
44506;211110;2011-09-29;183007;55;211110;0.510;211448;2011-10-04;183345;69;211448;0.062;366;7;8.22581
44507;209401;2011-09-01;181495;55;209401;0.313;209766;2011-09-05;181860;69;209766;0.042;366;7;7.45238
44507;209401;2011-09-01;181495;55;209401;0.313;211449;2011-10-04;183346;69;211449;0.046;366;6;6.80435
44507;211108;2011-09-29;183005;55;211108;0.376;209766;2011-09-05;181860;69;209766;0.042;366;6;8.95238
44507;211108;2011-09-29;183005;55;211108;0.376;211449;2011-10-04;183346;69;211449;0.046;366;7;8.17391
44508;209396;2011-09-01;181490;55;209396;0.433;209765;2011-09-05;181859;69;209765;0.061;366;7;7.09836
44508;209396;2011-09-01;181490;55;209396;0.433;211423;2011-10-04;183320;69;211423;0.042;366;6;10.30952
44508;211106;2011-09-29;183003;55;211106;0.299;209765;2011-09-05;181859;69;209765;0.061;366;6;4.90164
44508;211106;2011-09-29;183003;55;211106;0.299;211423;2011-10-04;183320;69;211423;0.042;366;7;7.11905
44509;209393;2011-09-01;181487;55;209393;0.77;209773;2011-09-05;181867;69;209773;0.102;366;7;7.54902
44509;209393;2011-09-01;181487;55;209393;0.77;211473;2011-10-04;183370;69;211473;0.097;366;6;7.93814
44509;211100;2011-09-29;182997;55;211100;0.778;209773;2011-09-05;181867;69;209773;0.102;366;6;7.62745
44509;211100;2011-09-29;182997;55;211100;0.778;211473;2011-10-04;183370;69;211473;0.097;366;7;8.02062
44510;208066;2011-08-29;180360;55;208066;0.433;208819;2011-08-31;180913;69;208819;0.061;366;7;7.09836
44510;208066;2011-08-29;180360;55;208066;0.433;211032;2011-09-29;182929;69;211032;0.046;366;6;9.41304
44510;210320;2011-09-26;182414;55;210320;0.326;208819;2011-08-31;180913;69;208819;0.061;366;6;5.34426
44510;210320;2011-09-26;182414;55;210320;0.326;211032;2011-09-29;182929;69;211032;0.046;366;7;7.08696
44511;208078;2011-08-29;180372;55;208078;0.636;208843;2011-08-31;180937;69;208843;0.085;366;7;7.48235
44511;208078;2011-08-29;180372;55;208078;0.636;211030;2011-09-29;182927;69;211030;0.071;366;6;8.95775
44511;210334;2011-09-26;182428;55;210334;0.515;208843;2011-08-31;180937;69;208843;0.085;366;6;6.05882
44511;210334;2011-09-26;182428;55;210334;0.515;211030;2011-09-29;182927;69;211030;0.071;366;7;7.25352
44512;209405;2011-09-01;181499;55;209405;0.735;209748;2011-09-05;181842;69;209748;0.096;366;7;7.65625
44512;209405;2011-09-01;181499;55;209405;0.735;211399;2011-10-04;183296;69;211399;0.063;366;6;11.66667
44512;211112;2011-09-29;183009;55;211112;0.440;209748;2011-09-05;181842;69;209748;0.096;366;6;4.58333
44512;211112;2011-09-29;183009;55;211112;0.440;211399;2011-10-04;183296;69;211399;0.063;366;7;6.98413
44513;209394;2011-09-01;181488;55;209394;0.398;209762;2011-09-05;181856;69;209762;0.059;366;7;6.74576
44513;209394;2011-09-01;181488;55;209394;0.398;211470;2011-10-04;183367;69;211470;0.169;366;6;2.35503
44513;211102;2011-09-29;182999;55;211102;1.451;209762;2011-09-05;181856;69;209762;0.059;366;2;24.59322
44513;211102;2011-09-29;182999;55;211102;1.451;211470;2011-10-04;183367;69;211470;0.169;366;7;8.58580
44514;209403;2011-09-01;181497;55;209403;0.576;209764;2011-09-05;181858;69;209764;0.079;366;7;7.29114
