sample_id;subspecies;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;entity_id;is_valid;value
1074506;1;13345;2011-09-01;10969;55;13345;0.765;13605;2011-09-05;11229;69;13605;0.091;366;7;8.40659
1074506;1;13345;2011-09-01;10969;55;13345;0.765;15036;2011-10-04;12463;69;15036;0.146;366;6;5.23973
1074506;1;14863;2011-09-29;12290;55;14863;1.310;13605;2011-09-05;11229;69;13605;0.091;366;6;14.39560
1074506;1;14863;2011-09-29;12290;55;14863;1.310;15036;2011-10-04;12463;69;15036;0.146;366;7;8.97260
1074507;1;13348;2011-09-01;10972;55;13348;0.948;13586;2011-09-05;11210;69;13586;0.094;366;7;10.08511
1074507;1;13348;2011-09-01;10972;55;13348;0.948;15037;2011-10-04;12464;69;15037;0.142;366;6;6.67606
1074507;1;14861;2011-09-29;12288;55;14861;1.174;13586;2011-09-05;11210;69;13586;0.094;366;6;12.48936
1074507;1;14861;2011-09-29;12288;55;14861;1.174;15037;2011-10-04;12464;69;15037;0.142;366;7;8.26761
1074508;1;13346;2011-09-01;10970;55;13346;0.698;13598;2011-09-05;11222;69;13598;0.074;366;7;9.43243
1074508;1;13346;2011-09-01;10970;55;13346;0.698;15038;2011-10-04;12465;69;15038;0.139;366;6;5.02158
1074508;1;14864;2011-09-29;12291;55;14864;1.135;13598;2011-09-05;11222;69;13598;0.074;366;2;15.33784
1074508;1;14864;2011-09-29;12291;55;14864;1.135;15038;2011-10-04;12465;69;15038;0.139;366;7;8.16547
1074509;1;13347;2011-09-01;10971;55;13347;1.018;13592;2011-09-05;11216;69;13592;0.119;366;7;8.55462
1074509;1;13347;2011-09-01;10971;55;13347;1.018;15039;2011-10-04;12466;69;15039;0.145;366;6;7.02069
1074509;1;14862;2011-09-29;12289;55;14862;1.273;13592;2011-09-05;11216;69;13592;0.119;366;6;10.69748
1074509;1;14862;2011-09-29;12289;55;14862;1.273;15039;2011-10-04;12466;69;15039;0.145;366;7;8.77931
1074510;1;13363;2011-09-01;10987;55;13363;1.071;13611;2011-09-05;11235;69;13611;0.121;366;7;8.85124
1074510;1;13363;2011-09-01;10987;55;13363;1.071;15040;2011-10-04;12467;69;15040;0.071;366;2;15.08451
1074510;1;14880;2011-09-29;12307;55;14880;0.532;13611;2011-09-05;11235;69;13611;0.121;366;6;4.39669
1074510;1;14880;2011-09-29;12307;55;14880;0.532;15040;2011-10-04;12467;69;15040;0.071;366;7;7.49296
1074511;1;13362;2011-09-01;10986;55;13362;0.963;13551;2011-09-05;11175;69;13551;0.108;366;7;8.91667
1074511;1;13362;2011-09-01;10986;55;13362;0.963;15041;2011-10-04;12468;69;15041;0.09;366;6;10.70000
