sample_id;subspecies;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;p3_id;p3_date;pv3_id;pv3_value_id;pv3_phenotype_id;pv3_number;entity_id;is_valid;value
1074506;1;13345;2011-09-01;10969;55;13345;0.765;13494;2011-09-02;11118;156;13494;1.019;13605;2011-09-05;11229;69;13605;0.091;366;7;0.72629
1074506;1;13345;2011-09-01;10969;55;13345;0.765;13494;2011-09-02;11118;156;13494;1.019;15036;2011-10-04;12463;69;15036;0.146;366;6;0.70905
1074506;1;13345;2011-09-01;10969;55;13345;0.765;14953;2011-09-30;12380;156;14953;1.592;13605;2011-09-05;11229;69;13605;0.091;366;6;0.44903
1074506;1;13345;2011-09-01;10969;55;13345;0.765;14953;2011-09-30;12380;156;14953;1.592;15036;2011-10-04;12463;69;15036;0.146;366;6;0.42808
1074506;1;14863;2011-09-29;12290;55;14863;1.310;13494;2011-09-02;11118;156;13494;1.019;13605;2011-09-05;11229;69;13605;0.091;366;0;1.31358
1074506;1;14863;2011-09-29;12290;55;14863;1.310;13494;2011-09-02;11118;156;13494;1.019;15036;2011-10-04;12463;69;15036;0.146;366;0;1.33333
1074506;1;14863;2011-09-29;12290;55;14863;1.310;14953;2011-09-30;12380;156;14953;1.592;13605;2011-09-05;11229;69;13605;0.091;366;6;0.81213
1074506;1;14863;2011-09-29;12290;55;14863;1.310;14953;2011-09-30;12380;156;14953;1.592;15036;2011-10-04;12463;69;15036;0.146;366;7;0.80498
1074507;1;13348;2011-09-01;10972;55;13348;0.948;13518;2011-09-02;11142;156;13518;1.266;13586;2011-09-05;11210;69;13586;0.094;366;7;0.72867
1074507;1;13348;2011-09-01;10972;55;13348;0.948;13518;2011-09-02;11142;156;13518;1.266;15037;2011-10-04;12464;69;15037;0.142;366;6;0.71708
1074507;1;13348;2011-09-01;10972;55;13348;0.948;14963;2011-09-30;12390;156;14963;1.412;13586;2011-09-05;11210;69;13586;0.094;366;6;0.64795
1074507;1;13348;2011-09-01;10972;55;13348;0.948;14963;2011-09-30;12390;156;14963;1.412;15037;2011-10-04;12464;69;15037;0.142;366;6;0.63465
1074507;1;14861;2011-09-29;12288;55;14861;1.174;13518;2011-09-02;11142;156;13518;1.266;13586;2011-09-05;11210;69;13586;0.094;366;6;0.92150
1074507;1;14861;2011-09-29;12288;55;14861;1.174;13518;2011-09-02;11142;156;13518;1.266;15037;2011-10-04;12464;69;15037;0.142;366;6;0.91815
1074507;1;14861;2011-09-29;12288;55;14861;1.174;14963;2011-09-30;12390;156;14963;1.412;13586;2011-09-05;11210;69;13586;0.094;366;6;0.81942
1074507;1;14861;2011-09-29;12288;55;14861;1.174;14963;2011-09-30;12390;156;14963;1.412;15037;2011-10-04;12464;69;15037;0.142;366;7;0.81260
1074508;1;13346;2011-09-01;10970;55;13346;0.698;13503;2011-09-02;11127;156;13503;0.938;13598;2011-09-05;11222;69;13598;0.074;366;7;0.72222
