Culture_ID,Plant_ID,Subspecies,55_12,69_12,55_810,69_810,188,190,191
48656,1074506,None,177.91,,2.67,0.435,,102.608348315,18.2550512487
48656,1074507,None,203.51,,3.17,0.484,,92.3683880126,18.7978906444
48656,1074508,None,205.63,,3.96,0.644,,102.313262626,21.0386761938
48656,1074509,None,167.29,,2.79,0.477,,110.654741935,18.5114317784
48656,1074510,None,73.37,,2.82,0.404,,82.9494113475,6.08599831057
48656,1074511,None,88.47,,2.75,0.389,,81.1415454545,7.17859252636
48656,1074512,None,168.81,,3.39,0.572,,108.418563422,18.3021376912
48656,1074513,None,127.52,,2.6,0.451,,113.148538462,14.4287016246
48656,1074515,None,124.48,,2.46,0.404,,103.914642276,12.9352946706
48656,1074516,None,179.43,,2.73,0.427,,96.0972564103,17.2427307177
48656,1074517,None,190.36,,2.67,0.494,,124.705726592,23.738982114
48656,1074518,None,164.74,,2.84,0.483,,109.757422535,18.0814377885
48656,1074519,None,163.23,,3.24,0.477,,86.9092222222,14.1861923433
48656,1074520,None,227.45,,2.99,0.468,,96.2087391304,21.8826777152
48656,1074521,None,185.20,,3.27,0.52,,98.7084067278,18.280796926
48656,1074522,None,179.74,,5.31,0.818,,93.7359642185,16.8481022086
48656,1074524,None,85.90,,2.7,0.443,,103.761074074,8.91307626296
48656,1074525,None,120.37,,3.32,0.492,,87.8797710843,10.5780880454
48656,1074526,None,50.62,,2.56,0.364,,81.8745,4.14448719
48656,1074527,None,119.37,,2.56,0.408,,99.062,11.82503094
48656,1074528,None,263.26,,2.29,0.37,,101.259052402,26.6574581353
48656,1074529,None,211.55,,2.57,0.388,,90.6597626459,19.1790727877
48656,1074530,None,226.28,,2.18,0.323,,87.8521376147,19.8791816994
48656,1074531,None,246.90,,2.2,0.377,,111.050636364,27.4184021182
48656,1074532,None,10.84,,1.63,0.219,,74.0428282209,0.802624257914
48656,1074533,None,2.09,,1.56,0.245,,96.7382820513,0.202183009487
48656,1074534,None,3.88,,1.18,0.174,,87.1446271186,0.33812115322
48656,1074535,None,31.40,,3.23,0.524,,101.916102167,3.20016560805
48656,1074537,None,5.97,,1.97,0.302,,92.9864923858,0.555129359543
48656,1074538,None,0.64,,.58,0.071,,62.1007931034,0.0397445075862
48656,1074540,None,5.51,,1.52,0.219,,83.7659473684,0.46155037
48656,1074541,None,27.12,,2.91,0.566,,134.188718213,3.63919803794
48656,1074542,None,24.71,,2.30,0.369,,100.121782609,2.47400924826
48656,1074543,None,21.08,,2.07,0.306,,87.5130869565,1.84477587304
48656,1074544,None,24.05,,2.50,0.374,,89.287,2.14735235
48656,1074545,None,27.4,,2.23,0.38,,110.090587444,3.01648209596
48656,1074547,None,1.35,,1.03,0.132,,67.8423398058,0.0915871587379
48656,1074549,None,16.16,,2.19,0.314,,83.0659954338,1.34234648621
48656,1074552,None,0.65,,0.60,0.102,,109.687,0.07129655
48656,1074553,None,14.48,,2.53,0.413,,102.928106719,1.4903989853
48656,1074554,None,12.52,,1.76,0.292,,105.596090909,1.32206305818
48656,1074555,None,2.24,,1.67,0.363,,157.052269461,0.351797083593
48656,1074556,None,53.64,,2.66,0.391,,86.679481203,4.64948737173
48656,1074557,None,99.72,,3.29,0.423,,68.2584285714,6.80673049714
48656,1074558,None,138.36,,3.02,0.438,,84.7201125828,11.721874777
48656,1074559,None,127.05,,3.33,0.413,,63.711024024,8.09448560225
48656,1074565,None,137.32,,2.32,0.329,,81.4973448276,11.1912153917
48656,1074566,None,134.78,,2.14,0.304,,81.7430747664,11.017331617
48656,1074567,None,87.28,,2.1,0.271,,68.7346190476,5.99915755048
48656,1074568,None,126.25,,2.51,0.359,,82.7148884462,10.4427546663
48656,1074569,None,87.28,,3.35,0.509,,91.6272985075,7.99723061373
48656,1074570,None,79.92,,2.63,0.36,,76.5691292776,6.11940481186
48656,1074571,None,135.18,,2.73,0.419,,93.1668534799,12.5942952534
