sample_id;p1_id;p1_date;pv1_id;pv1_value_id;pv1_phenotype_id;pv1_number;pe1_entity_id;p2_id;p2_date;pv2_id;pv2_value_id;pv2_phenotype_id;pv2_number;pe2_entity_id
44501;208065;2011-08-29;180359;55;208065;0.301;366;208839;2011-08-31;180933;69;208839;0.051;366
44501;208065;2011-08-29;180359;55;208065;0.301;366;210545;2011-09-27;182639;156;210545;0.826;366
44501;208065;2011-08-29;180359;55;208065;0.301;366;211037;2011-09-29;182934;69;211037;0.077;366
44501;208839;2011-08-31;180933;69;208839;0.051;366;210545;2011-09-27;182639;156;210545;0.826;366
44501;210319;2011-09-26;182413;55;210319;0.565;366;208839;2011-08-31;180933;69;208839;0.051;366
44501;210319;2011-09-26;182413;55;210319;0.565;366;210545;2011-09-27;182639;156;210545;0.826;366
44501;210319;2011-09-26;182413;55;210319;0.565;366;211037;2011-09-29;182934;69;211037;0.077;366
44501;211037;2011-09-29;182934;69;211037;0.077;366;210545;2011-09-27;182639;156;210545;0.826;366
44502;209391;2011-09-01;181485;55;209391;0.838;366;209673;2011-09-02;181767;156;209673;1.21;366
44502;209391;2011-09-01;181485;55;209391;0.838;366;209740;2011-09-05;181834;69;209740;0.104;366
44502;209391;2011-09-01;181485;55;209391;0.838;366;211315;2011-09-30;183212;156;211315;0.674;366
44502;209391;2011-09-01;181485;55;209391;0.838;366;211471;2011-10-04;183368;69;211471;0.066;366
44502;209740;2011-09-05;181834;69;209740;0.104;366;209673;2011-09-02;181767;156;209673;1.21;366
44502;209740;2011-09-05;181834;69;209740;0.104;366;211315;2011-09-30;183212;156;211315;0.674;366
44502;211099;2011-09-29;182996;55;211099;0.459;366;209673;2011-09-02;181767;156;209673;1.21;366
44502;211099;2011-09-29;182996;55;211099;0.459;366;209740;2011-09-05;181834;69;209740;0.104;366
44502;211099;2011-09-29;182996;55;211099;0.459;366;211315;2011-09-30;183212;156;211315;0.674;366
44502;211099;2011-09-29;182996;55;211099;0.459;366;211471;2011-10-04;183368;69;211471;0.066;366
44502;211471;2011-10-04;183368;69;211471;0.066;366;209673;2011-09-02;181767;156;209673;1.21;366
44502;211471;2011-10-04;183368;69;211471;0.066;366;211315;2011-09-30;183212;156;211315;0.674;366
44503;208070;2011-08-29;180364;55;208070;0.81;366;208831;2011-08-31;180925;69;208831;0.089;366
44503;208070;2011-08-29;180364;55;208070;0.81;366;210515;2011-09-27;182609;156;210515;0.79;366
44503;208070;2011-08-29;180364;55;208070;0.81;366;211004;2011-09-29;182901;69;211004;0.075;366
44503;208831;2011-08-31;180925;69;208831;0.089;366;210515;2011-09-27;182609;156;210515;0.79;366
44503;210323;2011-09-26;182417;55;210323;0.564;366;208831;2011-08-31;180925;69;208831;0.089;366
44503;210323;2011-09-26;182417;55;210323;0.564;366;210515;2011-09-27;182609;156;210515;0.79;366
44503;210323;2011-09-26;182417;55;210323;0.564;366;211004;2011-09-29;182901;69;211004;0.075;366
44503;211004;2011-09-29;182901;69;211004;0.075;366;210515;2011-09-27;182609;156;210515;0.79;366
44504;208072;2011-08-29;180366;55;208072;0.58;366;208817;2011-08-31;180911;69;208817;0.091;366
44504;208072;2011-08-29;180366;55;208072;0.58;366;210539;2011-09-27;182633;156;210539;0.923;366
44504;208072;2011-08-29;180366;55;208072;0.58;366;211031;2011-09-29;182928;69;211031;0.090;366
